atom,posX,posY,posZ
Sra,0.017470000000000,0.750000000000000,0.999738000000000 
Srb,0.982530000000000,0.250000000000000,0.000262000000000 
Src,0.482530000000000,0.250000000000000,0.499738000000000 
Srd,0.517470000000000,0.750000000000000,0.500262000000000 
Nba,0.000000000000000,0.000000000000000,0.500000000000000 
Nbb,0.500000000000000,0.000000000000000,0.000000000000000 
Nbc,0.500000000000000,0.500000000000000,0.000000000000000 
Nbd,0.000000000000000,0.500000000000000,0.500000000000000 
Oa,0.219118000000000,0.018898000000000,0.218927000000000 
Ob,0.780882000000000,0.981102000000000,0.781073000000000 
Oc,0.280882000000000,0.981102000000000,0.718927000000000 
Od,0.719118000000000,0.018898000000000,0.281073000000000 
Oe,0.719118000000000,0.481102000000000,0.281073000000000 
Of,0.280882000000000,0.518898000000000,0.718927000000000 
Og,0.780882000000000,0.518898000000000,0.781073000000000 
Oh,0.219118000000000,0.481102000000000,0.218927000000000 
Oi,0.005713000000000,0.250000000000000,0.537692000000000 
Oj,0.994287000000000,0.750000000000000,0.462308000000000 
Ok,0.494287000000000,0.750000000000000,0.037692000000000 
Ol,0.505713000000000,0.250000000000000,0.962308000000000